,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
1249,"SpongeBob SquarePants: Creature from the Krusty Krab NA, PAL• Bob l'éponge: La Creature du Crabe Croustillant FR• SpongeBob Schwammkopf: Die Kreatur aus der Krossen Krabbe DE• Bob Esponja: La Criatura del Krustáceo Krujiente ES",Yes,2006,WayForward,THQ,"NA, PAL"
1250,"SpongeBob SquarePants: Lights, Camera, Pants! NA, PAL• Bob l'éponge: Silence On Tourne! FR• SpongeBob Schwammkopf: Film Ab! DE• Bob Esponja: ¡Luces, Cámara, Esponja! ES",,2005,WayForward,THQ,"NA, PAL"
1251,SpongeBob SquarePants: Revenge of the Flying Dutchman,,2002,Vicarious Visions,THQ,"NA, PAL"
1252,SpongeBob SquarePants: SuperSponge,No,2001,Climax Group,THQ,
1253,"The SpongeBob SquarePants Movie NA, PAL• Bob L'éponge Le Film FR• Der SpongeBob Schwammkopf Film DE• SpongeBob il Film IT",No,2004,WayForward Technologies,THQ,"NA, PAL"
1254,SpongeBob's Atlantis SquarePantis,,2007,Altron,THQ,
1255,Sports Illustrated for Kids Baseball,,2001,Sennari Interactive,Bam Entertainment,
1256,Sports Illustrated for Kids Football,,2003,Sennari Interactive,Bam Entertainment,
1257,SpyHunter,No,2002,Midway,Midway,"NA, PAL"
1258,Spy Hunter / Super Sprint,Yes,2005,DSI Games,DSI Games,"NA, PAL"
1259,Spy Kids 3-D: Game Over,,2003,Digital Eclipse,Disney Interactive Studios / |THQ,"NA, PAL"
1260,Spy Kids Challenger,,2002,Game Titan,Disney Interactive Studios,
1261,Spy Muppets: License to Croak,,2003,Vicarious Visions,TDK Mediactive,
1262,Spyro: Attack of the Rhynocs NA• Spyro Adventure PAL,No,2003,Digital Eclipse,VU Games,"NA, PAL"
1263,"Spyro: Season of Ice NA, PAL• Spyro Advance JP",No,2001,Universal Interactive Studios,Universal Interactive Studios / Digital Eclipse Software,"NA, JP, PAL"
1264,Spyro 2: Season of Flame,No,2002,Digital Eclipse,VU Games,"NA, PAL"
